yyyyq,Index,D3,D12,E3,E12,bm,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
19082,7.64,NaN,0.42,NaN,0.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007793149,NaN,NaN,NaN,0.00489115,NaN,NaN,NaN,NaN
19083,8.17,NaN,0.41,NaN,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007233803,NaN,NaN,NaN,0.005053919,NaN,NaN,NaN,NaN
19084,9.03,NaN,0.4,NaN,0.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007719632,NaN,NaN,NaN,0.003603016,NaN,NaN,NaN,NaN
19091,8.92,NaN,0.41,NaN,0.625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006843623,NaN,NaN,NaN,0.00340206,NaN,NaN,NaN,NaN
19092,9.8,NaN,0.42,NaN,0.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006431294,NaN,NaN,NaN,0.001847548,NaN,NaN,NaN,NaN
19093,10.19,NaN,0.43,NaN,0.715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007469279,NaN,NaN,NaN,0.002927541,NaN,NaN,NaN,NaN
19094,10.3,NaN,0.44,NaN,0.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010110796,NaN,NaN,NaN,0.001857707,NaN,NaN,NaN,NaN
19101,9.96,NaN,0.448,NaN,0.753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009007408,NaN,NaN,NaN,0.00490875,NaN,NaN,NaN,NaN
19102,9.1,NaN,0.455,NaN,0.745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009544444,NaN,NaN,NaN,0.005853525,NaN,NaN,NaN,NaN
19103,8.91,NaN,0.463,NaN,0.738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010956439,NaN,NaN,NaN,0.005560272,NaN,NaN,NaN,NaN
19104,9.05,NaN,0.47,NaN,0.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010500422,NaN,NaN,NaN,0.002585228,NaN,NaN,NaN,NaN
19111,9.32,NaN,0.47,NaN,0.695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007726996,NaN,NaN,NaN,0.001828259,NaN,NaN,NaN,NaN
19112,9.67,NaN,0.47,NaN,0.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006990877,NaN,NaN,NaN,0.001206497,NaN,NaN,NaN,NaN
19113,8.67,NaN,0.47,NaN,0.625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008131714,NaN,NaN,NaN,0.002744684,NaN,NaN,NaN,NaN
19114,9.11,NaN,0.47,NaN,0.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008440802,NaN,NaN,NaN,0.002004133,NaN,NaN,NaN,NaN
19121,9.3,NaN,0.473,NaN,0.618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007646008,NaN,NaN,NaN,0.001057249,NaN,NaN,NaN,NaN
19122,9.58,NaN,0.475,NaN,0.645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008006674,NaN,NaN,NaN,0.001722304,NaN,NaN,NaN,NaN
19123,9.86,NaN,0.478,NaN,0.673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01002975,NaN,NaN,NaN,0.00131202,NaN,NaN,NaN,NaN
19124,9.38,NaN,0.48,NaN,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011919441,NaN,NaN,NaN,0.002362723,NaN,NaN,NaN,NaN
19131,8.8,NaN,0.48,NaN,0.683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010316567,NaN,NaN,NaN,0.002710673,NaN,NaN,NaN,NaN
19132,8.12,NaN,0.48,NaN,0.665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011257836,-3.50253E-05,NaN,NaN,0.003926465,NaN,NaN,NaN,NaN
19133,8.53,NaN,0.48,NaN,0.648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012066442,0.020396414,NaN,NaN,0.001788462,NaN,NaN,NaN,NaN
19134,8.04,NaN,0.48,NaN,0.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011375498,0.006655626,NaN,NaN,0.002249744,NaN,NaN,NaN,NaN
19141,8.32,NaN,0.465,NaN,0.603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007925637,-0.013344431,NaN,NaN,0.001804544,NaN,NaN,NaN,NaN
19142,8.13,NaN,0.45,NaN,0.575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007381042,0.003269295,NaN,NaN,0.002032892,NaN,NaN,NaN,NaN
19143,7.68,NaN,0.435,NaN,0.548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011793703,0.02670027,NaN,NaN,0.005177115,NaN,NaN,NaN,NaN
19144,7.35,NaN,0.42,NaN,0.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010919088,-0.006568115,NaN,NaN,0.002586008,NaN,NaN,NaN,NaN
19151,7.57,NaN,0.423,NaN,0.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00701293,-0.019813258,NaN,NaN,0.003063898,NaN,NaN,NaN,NaN
19152,8.04,NaN,0.425,NaN,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007049773,0.016716812,NaN,NaN,0.008303858,NaN,NaN,NaN,NaN
19153,8.66,NaN,0.428,NaN,0.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006335563,0.0032949,NaN,NaN,0.004002697,NaN,NaN,NaN,NaN
19154,9.48,NaN,0.43,NaN,0.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005775873,0.019661181,NaN,NaN,0.00373449,NaN,NaN,NaN,NaN
19161,9.17,NaN,0.463,NaN,1.042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00582007,0.019261769,NaN,NaN,0.003306403,NaN,NaN,NaN,NaN
19162,9.36,NaN,0.495,NaN,1.205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006188253,0.025187502,NaN,NaN,0.003997356,NaN,NaN,NaN,NaN
19163,9.68,NaN,0.528,NaN,1.368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007079174,0.030619925,NaN,NaN,0.002302376,NaN,NaN,NaN,NaN
19164,9.8,NaN,0.56,NaN,1.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006865676,0.035679509,NaN,NaN,0.00822634,NaN,NaN,NaN,NaN
19171,9.31,NaN,0.593,NaN,1.468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007587095,0.040116357,NaN,NaN,0.007476578,NaN,NaN,NaN,NaN
19172,9.04,NaN,0.625,NaN,1.405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009316332,0.076495096,NaN,NaN,0.004286175,NaN,NaN,NaN,NaN
19173,8.12,NaN,0.658,NaN,1.343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009713592,0.022858838,NaN,NaN,0.005244362,NaN,NaN,NaN,NaN
19174,6.8,NaN,0.69,NaN,1.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010941736,0.032509439,NaN,NaN,0.018554453,NaN,NaN,NaN,NaN
19181,7.28,NaN,0.66,NaN,1.208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011537213,0.024143722,NaN,NaN,0.004696366,NaN,NaN,NaN,NaN
19182,7.45,NaN,0.63,NaN,1.135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011934153,0.049572994,NaN,NaN,0.003147453,NaN,NaN,NaN,NaN
19183,7.54,NaN,0.6,NaN,1.063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012044399,0.067252478,NaN,NaN,0.002052422,NaN,NaN,NaN,NaN
19184,7.9,NaN,0.57,NaN,0.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012014996,0.048437102,NaN,NaN,0.005465017,NaN,NaN,NaN,NaN
19191,8.12,NaN,0.56,NaN,0.975,NaN,NaN,0.0539,0.0715,0.0473,NaN,NaN,0.010566734,-0.008428167,NaN,NaN,0.002571108,NaN,NaN,NaN,NaN
19192,9.21,NaN,0.55,NaN,0.96,NaN,NaN,0.054,0.0704,0.0469,NaN,NaN,0.010919676,0.034423084,NaN,NaN,0.004763049,NaN,NaN,NaN,NaN
19193,9.01,NaN,0.54,NaN,0.945,NaN,NaN,0.056,0.0727,0.0473,NaN,NaN,0.010846154,0.050729975,NaN,NaN,0.0087699,NaN,NaN,NaN,NaN
19194,8.92,NaN,0.53,NaN,0.93,NaN,NaN,0.0573,0.0777,0.049,NaN,NaN,0.011265191,0.063108475,NaN,NaN,0.008436735,NaN,NaN,NaN,NaN
19201,8.67,NaN,0.525,NaN,0.898,NaN,0.0475,0.0592,0.0797,0.0509,NaN,NaN,0.011436492,0.042009373,NaN,NaN,0.010659611,NaN,NaN,NaN,NaN
19202,7.92,NaN,0.52,NaN,0.865,NaN,0.0575,0.0638,0.0839,0.0554,NaN,NaN,0.013718543,0.060245804,NaN,NaN,0.007411788,NaN,NaN,NaN,NaN
19203,7.87,NaN,0.515,NaN,0.833,NaN,0.0581,0.0622,0.0814,0.0543,NaN,NaN,0.014506537,-0.043476202,NaN,NaN,0.004279798,NaN,NaN,NaN,NaN
19204,6.81,NaN,0.51,NaN,0.8,NaN,0.0588,0.0626,0.0856,0.054,NaN,NaN,0.01444848,-0.033608424,NaN,NaN,0.011056603,NaN,NaN,NaN,NaN
19211,6.88,NaN,0.498,NaN,0.673,0.636219641,0.0538,0.0608,0.0855,0.0527,NaN,NaN,0.013594127,-0.055838931,NaN,NaN,0.004082493,NaN,NaN,NaN,NaN
19212,6.55,NaN,0.485,NaN,0.545,0.704163623,0.0499,0.0618,0.0856,0.0527,NaN,NaN,0.012764464,-0.036761956,NaN,NaN,0.006839492,NaN,NaN,NaN,NaN
19213,6.61,NaN,0.473,NaN,0.418,0.678109173,0.0475,0.0593,0.0834,0.0512,NaN,NaN,0.011727044,-0.005755425,NaN,NaN,0.005569828,NaN,NaN,NaN,NaN
19214,7.31,NaN,0.46,NaN,0.29,0.596534654,0.039,0.055,0.0761,0.0447,NaN,NaN,0.01009963,-0.01336795,NaN,NaN,0.002527308,NaN,NaN,NaN,NaN
19221,7.74,NaN,0.473,NaN,0.39,0.521055587,0.0355,0.0523,0.0745,0.0441,NaN,NaN,0.009368667,-0.03504564,NaN,NaN,0.002368586,NaN,NaN,NaN,NaN
19222,8.45,NaN,0.485,NaN,0.49,0.499300549,0.0325,0.0508,0.0697,0.0424,NaN,NaN,0.008080773,0.001998,NaN,NaN,0.003640945,NaN,NaN,NaN,NaN
19223,9.06,NaN,0.498,NaN,0.59,0.477759473,0.0334,0.0493,0.0675,0.0419,NaN,NaN,0.008047522,-0.006042113,NaN,NaN,0.003816627,NaN,NaN,NaN,NaN
19224,8.78,NaN,0.51,NaN,0.69,0.472649486,0.0365,0.0508,0.0702,0.0432,NaN,NaN,0.009169306,0.014022067,NaN,NaN,0.004886943,NaN,NaN,NaN,NaN
19231,9.43,NaN,0.515,NaN,0.763,0.50209205,0.0412,0.0513,0.0709,0.0438,NaN,NaN,0.009509861,-0.001998063,NaN,NaN,0.001616929,NaN,NaN,NaN,NaN
19232,8.34,NaN,0.52,NaN,0.835,0.583710407,0.0384,0.0515,0.0721,0.0434,NaN,NaN,0.00991691,0.011877278,NaN,NaN,0.006703548,NaN,NaN,NaN,NaN
19233,8.15,NaN,0.525,NaN,0.908,0.586563601,0.0401,0.0512,0.0738,0.0436,NaN,NaN,0.009800636,0.011692015,NaN,NaN,0.004563896,NaN,NaN,NaN,NaN
19234,8.55,NaN,0.53,NaN,0.98,0.540201005,0.0388,0.0509,0.0738,0.0435,NaN,NaN,0.01001657,0.003872241,NaN,NaN,0.002812534,NaN,NaN,NaN,NaN
19241,8.7,NaN,0.535,NaN,0.968,0.594559725,0.0357,0.051,0.0708,0.0428,NaN,NaN,0.009044675,-0.011609319,NaN,NaN,0.003042928,NaN,NaN,NaN,NaN
19242,8.63,NaN,0.54,NaN,0.955,0.57383003,0.0244,0.0499,0.0682,0.0398,NaN,NaN,0.006750491,-0.0039139,NaN,NaN,0.00259472,NaN,NaN,NaN,NaN
19243,9.25,NaN,0.545,NaN,0.943,0.536060489,0.0214,0.0495,0.0673,0.0392,NaN,NaN,0.004962548,0.003910048,NaN,NaN,0.001940978,NaN,NaN,NaN,NaN
19244,10.16,NaN,0.55,NaN,0.93,0.45888308,0.0257,0.0495,0.0646,0.0396,NaN,NaN,0.006293388,0.009748436,NaN,NaN,0.003142936,NaN,NaN,NaN,NaN
19251,10.39,NaN,0.563,NaN,1.01,0.52248394,0.0278,0.0491,0.0636,0.0396,NaN,NaN,0.006667579,-1.12384E-05,NaN,NaN,0.005062998,NaN,NaN,NaN,NaN
19252,10.8,NaN,0.575,NaN,1.09,0.465613312,0.0286,0.0483,0.0618,0.0379,NaN,NaN,0.006966901,0.013463478,NaN,NaN,0.002108136,NaN,NaN,NaN,NaN
19253,11.51,NaN,0.588,NaN,1.17,0.425205632,0.0317,0.0487,0.062,0.0385,NaN,NaN,0.007690131,0.009446623,NaN,NaN,0.002377681,NaN,NaN,NaN,NaN
19254,12.46,NaN,0.6,NaN,1.25,0.389378271,0.0351,0.0485,0.0615,0.038,NaN,NaN,0.008895129,0.014958115,NaN,NaN,0.003979691,NaN,NaN,NaN,NaN
19261,11.46,NaN,0.623,NaN,1.248,0.494090844,0.0314,0.0479,0.0605,0.0371,NaN,NaN,0.008163856,-0.009333618,0.024369707,0.020230952,0.008379009,NaN,NaN,-0.09055605,-0.101090679
19262,12.32,NaN,0.645,NaN,1.245,0.453476215,0.0293,0.0472,0.058,0.0368,NaN,NaN,0.007640253,-0.003846726,0.01284488,0.014548337,0.00328218,NaN,NaN,0.111552743,0.096201659
19263,13.4,NaN,0.668,NaN,1.242,0.43871294,0.0342,0.0472,0.0579,0.0372,NaN,NaN,0.008155555,-0.00951123,0.00420152,0.015882793,0.003048033,NaN,NaN,0.085866167,0.074573415
19264,13.49,NaN,0.69,NaN,1.24,0.441475827,0.0307,0.0468,0.0568,0.0354,NaN,0.075788372,0.008321736,0.007604603,0.034368833,0.02114184,0.003776649,NaN,NaN,0.022085179,0.00639478
19271,13.93,NaN,0.71,NaN,1.208,0.469765117,0.032,0.0462,0.0554,0.0331,NaN,0.056557721,0.008089083,-0.020867485,0.04208006,0.020942711,0.002000133,NaN,NaN,0.050695411,0.037975498
19272,14.77,NaN,0.73,NaN,1.175,0.452385249,0.0307,0.0458,0.0555,0.0334,NaN,0.058026953,0.00814724,0.017298631,0.003422828,0.008712844,0.002168551,NaN,NaN,0.055901483,0.042683844
19273,17.14,NaN,0.75,NaN,1.143,0.380586062,0.0268,0.0454,0.0542,0.033,NaN,0.087270618,0.006941945,-0.019190919,0.014460748,0.023630667,0.003209255,NaN,NaN,0.177307914,0.164596804
19274,17.66,NaN,0.77,NaN,1.11,0.37468859,0.0317,0.0446,0.0532,0.0316,NaN,0.06936467,0.007731692,0.001913838,0.027037841,0.019221294,0.003895425,NaN,NaN,0.039676951,0.026418633
19281,19.13,NaN,0.79,NaN,1.177,0.363254838,0.0327,0.0446,0.0532,0.0317,NaN,0.044086685,0.008246987,-0.011631821,0.006989191,0.013657385,0.003290033,NaN,NaN,0.08442225,0.073750003
19282,19.19,NaN,0.81,NaN,1.245,0.370299948,0.0392,0.0457,0.0555,0.0326,NaN,0.039788854,0.009518199,-4.92724E-05,-0.004030117,-0.008795534,0.007862542,NaN,NaN,0.011995407,0.000572306
19283,21.37,NaN,0.83,NaN,1.312,0.32816581,0.0457,0.0461,0.0559,0.0346,NaN,0.012454628,0.010855302,0.009733355,-0.018306434,0.010313575,0.004021952,NaN,NaN,0.104904285,0.095512908
19284,24.35,NaN,0.85,NaN,1.38,0.259666667,0.0426,0.0461,0.056,0.034,NaN,0.031173008,0.010996444,-0.007748277,0.016511182,0.013109349,0.006776476,NaN,NaN,0.146063498,0.133765773
19291,25.53,NaN,0.88,NaN,1.438,0.27230047,0.046,0.047,0.0579,0.0377,NaN,0.064009489,0.011353475,-0.007808682,-0.038605055,-0.001450722,0.008911753,NaN,NaN,0.052296705,0.043665594
19292,27.62,NaN,0.91,NaN,1.495,0.253580582,0.048,0.0477,0.0594,0.0367,NaN,0.09174819,0.012216739,0.005860964,0.0219739,0.001779071,0.009112603,NaN,NaN,0.092835004,0.083272895
19293,30.16,NaN,0.94,NaN,1.552,0.244868249,0.0458,0.048,0.0612,0.0375,NaN,0.120221236,0.011502915,0.011661861,-0.00070918,0.007417614,0.00858786,NaN,NaN,0.095231399,0.087147355
19294,21.45,NaN,0.97,NaN,1.61,0.338457824,0.0303,0.0467,0.0595,0.034,NaN,0.163350483,0.009044363,-0.007740754,0.053243477,0.024792208,0.106766173,NaN,NaN,-0.266408142,-0.275374112
19301,25.14,NaN,0.973,NaN,1.45,0.319119189,0.0295,0.0462,0.0573,0.0335,NaN,0.12806352,0.008072421,-0.01365094,0.01548562,0.027123846,0.005034438,NaN,NaN,0.165177812,0.153981226
19302,20.46,NaN,0.975,NaN,1.29,0.403375453,0.0189,0.0457,0.0578,0.0328,NaN,0.129809387,0.006076961,-0.0059693,0.017440377,0.025303507,0.023479249,NaN,NaN,-0.175716773,-0.184190692
19303,18.59,NaN,0.978,NaN,1.13,0.445583211,0.0177,0.0442,0.0565,0.0324,NaN,0.098980395,0.00427194,-0.014022344,0.012139233,0.030284343,0.013653485,NaN,NaN,-0.079261325,-0.089756403
19304,15.34,NaN,0.98,NaN,0.97,0.554745413,0.0148,0.0452,0.0671,0.033,NaN,0.120762526,0.00384751,-0.028320687,0.000660697,-0.004844222,0.029636937,NaN,NaN,-0.166932849,-0.178731488
19311,16.69,NaN,0.94,NaN,0.88,0.529125087,0.0138,0.0439,0.0644,0.0332,NaN,0.097611229,0.003065083,-0.035427353,0.00665864,0.036894078,0.012193676,NaN,NaN,0.095154059,0.081399408
19312,14.83,NaN,0.9,NaN,0.79,0.607271275,0.0055,0.0436,0.0736,0.0319,NaN,0.081699373,0.002432189,-0.028034158,0.02363399,0.025494767,0.035999519,NaN,NaN,-0.102347209,-0.115641486
19313,9.71,NaN,0.86,NaN,0.7,0.944001656,0.0045,0.0455,0.0807,0.0353,NaN,0.056252627,0.001066477,-0.008844662,-0.031020598,0.004997271,0.032864746,NaN,NaN,-0.335814031,-0.345419472
19314,8.12,NaN,0.82,NaN,0.61,1.170731707,0.0241,0.0532,0.1042,0.0407,NaN,0.002113718,0.004895897,-0.026850998,-0.05172054,-0.081554832,0.07132365,NaN,NaN,-0.167592691,-0.186066601
19321,7.31,NaN,0.74,NaN,0.56,1.185862445,0.0225,0.0498,0.0883,0.037,NaN,-0.006761777,0.005952414,-0.039220174,0.042959707,0.005695766,0.055004096,NaN,NaN,-0.090641463,-0.106433366
19322,4.43,NaN,0.66,NaN,0.51,2.028478058,0.0034,0.0541,0.11,0.0347,NaN,-0.034356957,0.001466166,-0.028725676,0.047227499,-0.007981941,0.071298226,NaN,NaN,-0.389398372,-0.403012687
19323,8.08,NaN,0.58,NaN,0.46,1.214365567,0.0003,0.047,0.0761,0.0319,NaN,0.000516809,0.000324976,-0.017244354,0.054390392,0.079634913,0.096518721,NaN,NaN,0.899137605,0.877460696
19324,6.89,NaN,0.5,NaN,0.41,1.442084301,0.0004,0.0459,0.0842,0.0315,NaN,-0.001500741,4.99994E-05,-0.022534769,0.014614139,0.028859101,0.063567503,NaN,NaN,-0.138388368,-0.151696637
19331,5.85,NaN,0.485,NaN,0.418,1.476534296,0.0134,0.0468,0.0891,0.0321,NaN,-0.01831785,0.001182709,-0.038530546,-0.001792244,0.004237024,0.057428521,NaN,NaN,-0.134394301,-0.147219029
19332,10.91,NaN,0.47,NaN,0.425,0.833503159,0.0007,0.0446,0.0707,0.0306,NaN,0.002168754,0.000674899,0.010547071,0.032138055,0.068667487,0.061649217,NaN,NaN,0.896372351,0.880658306
19333,9.83,NaN,0.455,NaN,0.433,0.867996604,0.0004,0.0436,0.0727,0.0308,NaN,0.00189187,0.000199987,0.038903863,0.004998713,0.02411396,0.057320077,NaN,NaN,-0.091958791,-0.098549479
19334,10.1,NaN,0.44,NaN,0.44,0.829026046,0.0029,0.045,0.0775,0.0336,NaN,0.012765111,0.000499951,-0.0050633,-0.034894742,0.004263691,0.041057894,NaN,NaN,0.03752777,0.02820215
19341,10.75,NaN,0.443,NaN,0.453,0.802512212,0.0024,0.0413,0.0626,0.0307,NaN,0.015205388,0.001316333,0.012648714,0.054378131,0.060135847,0.018966445,NaN,NaN,0.083843432,0.0746677
19342,9.81,NaN,0.445,NaN,0.465,0.840731071,0.0015,0.0393,0.0606,0.0289,NaN,0.011833825,0.000383309,0.002496787,0.032738356,0.035601599,0.014569042,NaN,NaN,-0.081307792,-0.08880183
19343,9.1,NaN,0.448,NaN,0.478,0.870364364,0.0021,0.0396,0.0657,0.031,NaN,0.024344216,0.000458298,0.017385784,-0.022332631,0.003264615,0.021971066,NaN,NaN,-0.06854596,-0.079199692
19344,9.5,NaN,0.45,NaN,0.49,0.773740869,0.0023,0.0381,0.0623,0.0293,NaN,0.019193422,0.000624935,-0.012318272,0.033413374,0.033566219,0.00864703,NaN,NaN,0.05137032,0.041186752
19351,8.47,NaN,0.45,0.18,0.73,0.800754118,0.0015,0.0367,0.062,0.0274,NaN,0.012234043,0.000449966,0.019759333,0.031780467,0.039950149,0.008830061,NaN,NaN,-0.106968584,-0.11702943
19352,10.23,NaN,0.44,0.19,0.81,0.681818182,0.0015,0.0361,0.0577,0.027,NaN,0.019218952,0.000374977,0.002377373,0.011374796,0.026820047,0.008971256,NaN,NaN,0.217260217,0.206223804
19353,11.59,NaN,0.44,0.15,0.76,0.611734385,0.002,0.0359,0.0553,0.0282,NaN,0.009179983,0.000424969,-2.37959E-05,-0.007869065,0.00685338,0.007676233,NaN,NaN,0.142107858,0.132196959
19354,13.43,NaN,0.47,0.24,0.76,0.559911191,0.0015,0.0344,0.053,0.0276,NaN,0.01168176,0.000424969,0.00728454,0.014155843,0.019521351,0.009006347,NaN,NaN,0.173295594,0.161492763
19361,14.92,NaN,0.5,0.21,0.79,0.527696047,0.002,0.0329,0.0486,0.0275,NaN,0.011793054,0.000499958,-0.009685235,0.024389182,0.021956163,0.008793324,NaN,NaN,0.124197042,0.115737685
19362,14.84,NaN,0.55,0.28,0.88,0.523178388,0.002,0.0324,0.049,0.0273,NaN,0.019611962,0.000499958,0.0097088,0.009629779,0.014864605,0.010072548,NaN,NaN,0.002830805,-0.006832191
19363,16.01,NaN,0.61,0.21,0.94,0.491598141,0.0016,0.0318,0.0462,0.0268,NaN,0.02094379,0.000424969,0.01445213,0.014013384,0.014559679,0.005198088,NaN,NaN,0.093970668,0.083783665
19364,17.18,NaN,0.72,0.32,1.02,0.458588105,0.0012,0.031,0.0453,0.0255,NaN,0.02064082,0.000299985,-0.0023838,0.024992527,0.014440677,0.00648841,NaN,NaN,0.083560817,0.067015805
19371,17.92,NaN,0.75,0.3,1.11,0.458666381,0.0038,0.0332,0.0468,0.0285,NaN,0.031968319,0.000583265,0.016652653,-0.034110751,-0.013585834,0.005960808,NaN,NaN,0.052812423,0.046059063
19372,15.4,NaN,0.84,0.34,1.17,0.504961021,0.0036,0.0328,0.0493,0.0285,NaN,0.028885573,0.001108121,0.011712296,0.007404073,0.016184584,0.011875302,0.004205943,NaN,-0.135214107,-0.144811601
19373,13.76,NaN,0.77,0.26,1.22,0.553147441,0.0031,0.0328,0.0516,0.0284,NaN,0.031775156,0.000733244,0.016185215,0.007771134,0.004698853,0.020537495,0.003338534,NaN,-0.103205853,-0.113085657
19374,10.55,NaN,0.8,0.23,1.13,0.707488622,0.0011,0.0321,0.0573,0.0273,NaN,0.024175971,0.000333312,-0.013735228,0.022153811,0.020234971,0.059902798,0.002833122,NaN,-0.216756977,-0.237107768
19381,8.5,NaN,0.78,0.14,0.97,0.892369884,0.0008,0.0322,0.063,0.0273,NaN,0.02576423,0.000216659,-0.023288254,0.0071892,-0.003937993,0.031601376,0.002964826,NaN,-0.195204272,-0.203548908
19382,11.56,NaN,0.74,0.14,0.77,0.659545862,0.0005,0.0326,0.0625,0.0259,NaN,0.013101371,0.000158329,-2.23549E-05,0.025902597,0.024454531,0.037282008,0.006085903,NaN,0.375319975,0.360095413
19383,12.24,NaN,0.66,0.11,0.62,0.624248851,0.0008,0.0321,0.0565,0.0259,NaN,0.006665306,0.000174995,-5.6022E-06,0.00650946,0.015638553,0.028300813,0.006128015,NaN,0.065058244,0.057209327
19384,13.21,NaN,0.51,0.25,0.64,0.572039388,0.0003,0.0308,0.0527,0.0252,NaN,0.009154653,9.99983E-05,-0.004756256,0.014532707,0.024072701,0.010940332,0.004166964,NaN,0.097634339,0.086056966
19391,10.98,NaN,0.52,0.21,0.71,0.660649272,0.0003,0.0299,0.0489,0.0237,NaN,0.001813088,7.49991E-05,-0.011930331,0.02662154,0.010833031,0.018404564,0.002714895,NaN,-0.164332296,-0.172164423
19392,10.86,NaN,0.53,0.19,0.76,0.666768736,0.0003,0.0292,0.0491,0.0221,NaN,0.00244475,7.49991E-05,-0.0024125,0.026323205,0.01487102,0.015693705,0.004162359,NaN,-0.003917324,-0.015014733
19393,13.02,NaN,0.56,0.16,0.81,0.580047949,0.0014,0.0325,0.05,0.0278,NaN,0.002479444,0.000191658,0.0191393,-0.063035151,-0.025374636,0.025692659,0.007089187,NaN,0.225638065,0.213614414
19394,12.49,NaN,0.62,0.34,0.9,0.58070538,0.0004,0.0294,0.0492,0.0226,NaN,0.005154747,0.000116664,-0.009501224,0.073203231,0.03983517,0.003885376,0.006074034,NaN,-0.030505196,-0.046558081
19401,12.25,NaN,0.63,0.3,0.99,0.647959875,0.0002,0.0284,0.048,0.0215,NaN,0.008371307,4.16664E-05,0.002360992,0.018713029,0.01194464,0.002533213,0.005046031,NaN,-0.010192142,-0.020077066
19402,9.98,NaN,0.65,0.24,1.04,0.783221367,0.001,0.0296,0.0511,0.0227,NaN,0.008418777,0.000149995,0.004767569,-0.00835437,0.000682824,0.029191787,0.003512947,NaN,-0.171473732,-0.185528542
19403,10.66,NaN,0.67,0.2,1.08,0.720747889,0.0005,0.0282,0.0466,0.0215,NaN,0.010071912,0.000116664,-0.002383769,0.01910272,0.012027244,0.007561331,0.00447837,NaN,0.085496658,0.070781787
19404,10.58,NaN,0.67,0.31,1.05,0.72904751,0.0002,0.0271,0.0445,0.0194,NaN,0.010623785,4.99996E-05,0.0047506,0.030522096,0.008905039,0.007864932,0.004261973,NaN,0.014228804,-0.006506694
19411,9.96,NaN,0.68,0.31,1.06,0.804269883,0.0011,0.028,0.0438,0.0206,NaN,0.007853623,0.000141662,0.0047281,-0.008714346,-0.001002281,0.005933313,0.001855023,NaN,-0.041153832,-0.054388545
19412,9.85,NaN,0.69,0.27,1.09,0.801526718,0.0012,0.0277,0.0431,0.0191,NaN,0.006722403,0.000274987,0.035133843,0.02233802,0.019118471,0.004507017,0.002223899,NaN,0.007058136,-0.011459131
19413,10.2,NaN,0.7,0.3,1.19,0.778268412,0.001,0.0275,0.043,0.0193,NaN,0.00974778,0.000291652,0.031676349,0.002799155,0.014568083,0.002809099,0.002668551,NaN,0.048235906,0.033241479
19414,8.69,NaN,0.71,0.28,1.16,0.889509733,0.0033,0.028,0.0438,0.0204,NaN,0.012776998,0.000583266,0.021973197,-0.006836351,-0.005435579,0.008986268,0.003446983,NaN,-0.122361506,-0.14557167
